Timestamp,VIN,Speed,FuelLevel,Location,EngineTemp
2024-01-01 00:03:00,VIN-A0001,76.7,7.4,"12.2388,109.1967",79.8
2024-01-01 00:06:00,VIN-A0002,16.7,14.7,"21.0285,105.8542",93.6
2024-01-01 00:09:00,VIN-A0003,3.8,13.9,"10.0452,105.7469",90.2
2024-01-01 00:12:00,VIN-A0004,3.2,23.9,"20.8449,106.6881",78.8
2024-01-01 00:15:00,VIN-A0005,70.7,81.9,"10.8231,106.6297",100.4
2024-01-01 00:18:00,VIN-A0006,19.2,45.1,"12.2388,109.1967",76.2
2024-01-01 00:21:00,VIN-A0007,114.9,37.0,"21.0285,105.8542",85.2
2024-01-01 00:24:00,VIN-A0008,43.1,37.7,"12.2388,109.1967",102.3
2024-01-01 00:27:00,VIN-A0009,87.6,55.9,"20.8449,106.6881",73.2
2024-01-01 00:30:00,VIN-A0010,35.2,64.7,"11.9404,108.4583",93.1
2024-01-01 00:33:00,VIN-A0011,84.5,9.4,"10.0452,105.7469",100.9
2024-01-01 00:36:00,VIN-A0012,118.2,86.3,"21.0285,105.8542",85.2
2024-01-01 00:39:00,VIN-A0013,54.4,84.2,"16.0544,108.2022",84.8
2024-01-01 00:42:00,VIN-A0014,25.1,30.4,"21.0285,105.8542",94.4
2024-01-01 00:45:00,VIN-A0015,20.5,74.3,"16.0544,108.2022",88.5
2024-01-01 00:48:00,VIN-A0016,32.4,92.9,"10.0452,105.7469",97.4
2024-01-01 00:51:00,VIN-A0017,101.1,78.7,"10.0452,105.7469",102.9
2024-01-01 00:54:00,VIN-A0018,96.6,43.1,"21.0285,105.8542",78.4
2024-01-01 00:57:00,VIN-A0019,113.1,88.3,"11.9404,108.4583",78.5
2024-01-01 01:00:00,VIN-A0020,59.9,89.0,"10.9460,108.4419",75.7
2024-01-01 01:03:00,VIN-A0021,16.8,75.8,"12.2388,109.1967",99.9
2024-01-01 01:06:00,VIN-A0022,51.4,60.4,"11.9404,108.4583",78.8
2024-01-01 01:09:00,VIN-A0023,119.7,53.4,"21.0285,105.8542",100.2
2024-01-01 01:12:00,VIN-A0024,103.3,19.5,"16.0544,108.2022",101.7
2024-01-01 01:15:00,VIN-A0025,50.7,11.0,"20.8449,106.6881",93.8
2024-01-01 01:18:00,VIN-A0026,56.2,28.9,"10.8231,106.6297",97.2
2024-01-01 01:21:00,VIN-A0027,13.7,89.1,"12.2388,109.1967",100.7
2024-01-01 01:24:00,VIN-A0028,40.8,32.9,"16.0544,108.2022",88.1
2024-01-01 01:27:00,VIN-A0029,114.5,88.2,"12.2388,109.1967",108.9
2024-01-01 01:30:00,VIN-A0030,91.4,53.2,"21.0285,105.8542",104.8
2024-01-01 01:33:00,VIN-A0031,35.8,65.7,"10.0452,105.7469",76.1
2024-01-01 01:36:00,VIN-A0032,91.5,56.2,"10.8231,106.6297",94.0
2024-01-01 01:39:00,VIN-A0033,58.6,15.6,"11.9404,108.4583",105.1
2024-01-01 01:42:00,VIN-A0034,99.8,34.2,"10.8231,106.6297",79.6
2024-01-01 01:45:00,VIN-A0035,68.1,12.5,"10.9460,108.4419",102.6
2024-01-01 01:48:00,VIN-A0036,117.4,55.6,"16.0544,108.2022",75.1
