Timestamp,VIN,Speed,FuelLevel,Location,EngineTemp
2024-01-06 05:03:00,VIN-B0001,6.6,78.5,"10.0452,105.7469",91.4
2024-01-06 05:06:00,VIN-B0002,103.2,69.8,"10.8231,106.6297",92.1
2024-01-06 05:09:00,VIN-B0003,6.3,77.7,"16.0544,108.2022",87.2
2024-01-06 05:12:00,VIN-B0004,51.2,18.1,"10.9460,108.4419",74.7
2024-01-06 05:15:00,VIN-B0005,73.9,90.8,"11.9404,108.4583",77.7
2024-01-06 05:18:00,VIN-B0006,52.4,10.5,"10.0452,105.7469",73.7
2024-01-06 05:21:00,VIN-B0007,1.2,44.2,"10.8231,106.6297",109.6
2024-01-06 05:24:00,VIN-B0008,1.8,73.4,"10.8231,106.6297",73.1
2024-01-06 05:27:00,VIN-B0009,15.2,22.2,"10.8231,106.6297",82.6
2024-01-06 05:30:00,VIN-B0010,72.3,89.6,"12.2388,109.1967",75.2
2024-01-06 05:33:00,VIN-B0011,47.7,67.5,"21.0285,105.8542",73.1
2024-01-06 05:36:00,VIN-B0012,112.6,24.6,"11.9404,108.4583",105.9
2024-01-06 05:39:00,VIN-B0013,103.1,47.1,"12.2388,109.1967",107.7
2024-01-06 05:42:00,VIN-B0014,93.6,32.8,"10.0452,105.7469",91.1
2024-01-06 05:45:00,VIN-B0015,32.1,71.3,"21.0285,105.8542",72.2
2024-01-06 05:48:00,VIN-B0016,108.1,72.0,"10.9460,108.4419",81.2
2024-01-06 05:51:00,VIN-B0017,24.4,18.0,"10.0452,105.7469",82.2
2024-01-06 05:54:00,VIN-B0018,66.4,16.7,"16.0544,108.2022",71.4
2024-01-06 05:57:00,VIN-B0019,28.2,46.8,"10.9460,108.4419",108.1
2024-01-06 06:00:00,VIN-B0020,2.6,84.5,"12.2388,109.1967",81.1
2024-01-06 06:03:00,VIN-B0021,46.1,83.6,"21.0285,105.8542",72.4
2024-01-06 06:06:00,VIN-B0022,102.5,41.5,"10.8231,106.6297",104.5
2024-01-06 06:09:00,VIN-B0023,46.2,9.2,"10.0452,105.7469",85.2
2024-01-06 06:12:00,VIN-B0024,79.2,55.6,"12.2388,109.1967",71.3
2024-01-06 06:15:00,VIN-B0025,91.6,94.0,"11.9404,108.4583",106.9
2024-01-06 06:18:00,VIN-B0026,108.9,82.0,"10.0452,105.7469",100.3
2024-01-06 06:21:00,VIN-B0027,40.9,83.8,"20.8449,106.6881",104.6
2024-01-06 06:24:00,VIN-B0028,93.9,93.2,"10.8231,106.6297",102.3
2024-01-06 06:27:00,VIN-B0029,66.4,95.5,"12.2388,109.1967",104.3
2024-01-06 06:30:00,VIN-B0030,112.6,49.0,"12.2388,109.1967",76.5
2024-01-06 06:33:00,VIN-B0031,45.8,75.8,"10.0452,105.7469",75.3
2024-01-06 06:36:00,VIN-B0032,1.8,81.0,"12.2388,109.1967",73.4
2024-01-06 06:39:00,VIN-B0033,30.0,56.6,"11.9404,108.4583",92.8
2024-01-06 06:42:00,VIN-B0034,4.6,31.1,"12.2388,109.1967",96.4
2024-01-06 06:45:00,VIN-B0035,93.9,82.0,"10.8231,106.6297",75.0
2024-01-06 06:48:00,VIN-B0036,68.2,35.5,"12.2388,109.1967",103.9
2024-01-06 06:51:00,VIN-B0037,53.3,6.6,"10.8231,106.6297",88.7
2024-01-06 06:54:00,VIN-B0038,115.9,50.6,"10.0452,105.7469",86.3
2024-01-06 06:57:00,VIN-B0039,69.5,12.6,"11.9404,108.4583",108.1
2024-01-06 07:00:00,VIN-B0040,52.9,29.5,"12.2388,109.1967",80.4
2024-01-06 07:03:00,VIN-B0041,59.4,26.6,"16.0544,108.2022",75.9
2024-01-06 07:06:00,VIN-B0042,74.2,9.7,"21.0285,105.8542",96.2
2024-01-06 07:09:00,VIN-B0043,22.1,53.1,"10.9460,108.4419",93.2
2024-01-06 07:12:00,VIN-B0044,5.0,73.1,"10.8231,106.6297",108.1
2024-01-06 07:15:00,VIN-B0045,119.0,97.7,"10.8231,106.6297",97.1
2024-01-06 07:18:00,VIN-B0046,102.9,38.6,"10.8231,106.6297",94.0
2024-01-06 07:21:00,VIN-B0047,42.0,12.4,"10.9460,108.4419",74.5
2024-01-06 07:24:00,VIN-B0048,9.3,24.4,"11.9404,108.4583",103.2
2024-01-06 07:27:00,VIN-B0049,81.7,11.8,"20.8449,106.6881",105.0
2024-01-06 07:30:00,VIN-B0050,17.2,36.0,"11.9404,108.4583",83.4
2024-01-06 07:33:00,VIN-B0051,49.0,66.9,"10.9460,108.4419",107.7
2024-01-06 07:36:00,VIN-B0052,35.3,8.0,"11.9404,108.4583",71.8
2024-01-06 07:39:00,VIN-B0053,111.6,91.6,"10.8231,106.6297",74.2
2024-01-06 07:42:00,VIN-B0054,25.4,34.7,"11.9404,108.4583",107.6
2024-01-06 07:45:00,VIN-B0055,45.5,60.4,"16.0544,108.2022",85.2
2024-01-06 07:48:00,VIN-B0056,119.7,12.5,"21.0285,105.8542",108.3
2024-01-06 07:51:00,VIN-B0057,119.1,58.7,"20.8449,106.6881",91.6
2024-01-06 07:54:00,VIN-B0058,14.5,88.5,"10.8231,106.6297",94.3
2024-01-06 07:57:00,VIN-B0059,79.1,54.4,"11.9404,108.4583",80.8
2024-01-06 08:00:00,VIN-B0060,100.3,32.8,"10.0452,105.7469",83.1
2024-01-06 08:03:00,VIN-B0061,95.9,97.9,"10.0452,105.7469",88.2
2024-01-06 08:06:00,VIN-B0062,89.8,16.0,"10.0452,105.7469",87.8
2024-01-06 08:09:00,VIN-B0063,114.9,43.9,"21.0285,105.8542",84.1
2024-01-06 08:12:00,VIN-B0064,60.7,91.9,"10.9460,108.4419",94.2
2024-01-06 08:15:00,VIN-B0065,53.9,44.8,"16.0544,108.2022",107.0
2024-01-06 08:18:00,VIN-B0066,29.4,91.4,"16.0544,108.2022",94.2
