Timestamp,VIN,Speed,FuelLevel,Location,EngineTemp
2024-01-11 10:03:00,VIN-C0001,32.2,57.5,"10.0452,105.7469",71.3
2024-01-11 10:06:00,VIN-C0002,21.1,14.8,"20.8449,106.6881",108.2
2024-01-11 10:09:00,VIN-C0003,0.9,60.5,"16.0544,108.2022",77.5
2024-01-11 10:12:00,VIN-C0004,107.8,76.0,"10.8231,106.6297",73.8
2024-01-11 10:15:00,VIN-C0005,117.5,30.3,"20.8449,106.6881",80.7
2024-01-11 10:18:00,VIN-C0006,99.5,10.8,"10.8231,106.6297",104.7
2024-01-11 10:21:00,VIN-C0007,54.1,88.9,"10.8231,106.6297",106.9
2024-01-11 10:24:00,VIN-C0008,96.7,12.6,"10.0452,105.7469",87.8
2024-01-11 10:27:00,VIN-C0009,93.4,89.4,"10.8231,106.6297",107.7
2024-01-11 10:30:00,VIN-C0010,34.9,23.8,"16.0544,108.2022",86.5
2024-01-11 10:33:00,VIN-C0011,55.1,29.1,"12.2388,109.1967",85.1
2024-01-11 10:36:00,VIN-C0012,26.9,15.7,"10.9460,108.4419",76.4
2024-01-11 10:39:00,VIN-C0013,33.4,47.1,"10.0452,105.7469",106.6
2024-01-11 10:42:00,VIN-C0014,0.6,26.1,"10.8231,106.6297",99.7
2024-01-11 10:45:00,VIN-C0015,90.7,35.9,"10.8231,106.6297",76.3
2024-01-11 10:48:00,VIN-C0016,42.0,74.2,"11.9404,108.4583",74.3
2024-01-11 10:51:00,VIN-C0017,72.4,75.1,"10.0452,105.7469",75.1
2024-01-11 10:54:00,VIN-C0018,84.1,99.2,"10.9460,108.4419",77.2
2024-01-11 10:57:00,VIN-C0019,103.3,20.2,"21.0285,105.8542",102.9
2024-01-11 11:00:00,VIN-C0020,26.7,67.0,"12.2388,109.1967",109.0
2024-01-11 11:03:00,VIN-C0021,67.6,45.8,"16.0544,108.2022",103.2
2024-01-11 11:06:00,VIN-C0022,86.2,48.0,"11.9404,108.4583",103.0
2024-01-11 11:09:00,VIN-C0023,54.4,20.8,"12.2388,109.1967",84.2
2024-01-11 11:12:00,VIN-C0024,24.6,51.5,"11.9404,108.4583",70.9
2024-01-11 11:15:00,VIN-C0025,86.7,53.0,"20.8449,106.6881",82.1
2024-01-11 11:18:00,VIN-C0026,0.3,76.1,"11.9404,108.4583",100.1
2024-01-11 11:21:00,VIN-C0027,101.6,7.1,"10.8231,106.6297",91.8
2024-01-11 11:24:00,VIN-C0028,79.8,92.6,"16.0544,108.2022",93.8
2024-01-11 11:27:00,VIN-C0029,19.9,78.3,"11.9404,108.4583",101.1
2024-01-11 11:30:00,VIN-C0030,113.3,88.8,"10.0452,105.7469",94.8
2024-01-11 11:33:00,VIN-C0031,33.5,56.5,"10.8231,106.6297",93.4
2024-01-11 11:36:00,VIN-C0032,20.8,19.9,"10.0452,105.7469",79.9
2024-01-11 11:39:00,VIN-C0033,20.8,96.0,"10.0452,105.7469",84.3
2024-01-11 11:42:00,VIN-C0034,4.9,81.9,"11.9404,108.4583",83.8
2024-01-11 11:45:00,VIN-C0035,116.8,15.8,"10.0452,105.7469",109.6
2024-01-11 11:48:00,VIN-C0036,34.0,80.6,"10.8231,106.6297",79.0
2024-01-11 11:51:00,VIN-C0037,48.6,52.9,"12.2388,109.1967",97.8
2024-01-11 11:54:00,VIN-C0038,25.0,23.4,"10.0452,105.7469",77.7
2024-01-11 11:57:00,VIN-C0039,19.5,85.7,"20.8449,106.6881",106.8
