Timestamp,VIN,Speed,FuelLevel,Location,EngineTemp
2024-01-16 15:03:00,VIN-D0001,92.2,34.3,"16.0544,108.2022",80.8
2024-01-16 15:06:00,VIN-D0002,112.9,88.2,"20.8449,106.6881",89.3
2024-01-16 15:09:00,VIN-D0003,5.5,42.6,"20.8449,106.6881",76.3
2024-01-16 15:12:00,VIN-D0004,59.7,51.7,"12.2388,109.1967",71.8
2024-01-16 15:15:00,VIN-D0005,7.5,39.6,"10.9460,108.4419",108.1
2024-01-16 15:18:00,VIN-D0006,24.8,73.1,"16.0544,108.2022",82.9
2024-01-16 15:21:00,VIN-D0007,32.8,96.3,"11.9404,108.4583",76.1
2024-01-16 15:24:00,VIN-D0008,99.3,42.1,"10.8231,106.6297",70.0
2024-01-16 15:27:00,VIN-D0009,38.5,84.5,"12.2388,109.1967",94.0
2024-01-16 15:30:00,VIN-D0010,105.4,48.0,"21.0285,105.8542",84.5
2024-01-16 15:33:00,VIN-D0011,101.9,37.3,"16.0544,108.2022",70.3
2024-01-16 15:36:00,VIN-D0012,43.2,74.6,"10.0452,105.7469",83.2
2024-01-16 15:39:00,VIN-D0013,92.1,22.9,"21.0285,105.8542",90.6
2024-01-16 15:42:00,VIN-D0014,44.6,44.3,"11.9404,108.4583",94.5
2024-01-16 15:45:00,VIN-D0015,99.5,26.8,"16.0544,108.2022",79.7
2024-01-16 15:48:00,VIN-D0016,15.2,73.2,"21.0285,105.8542",70.3
2024-01-16 15:51:00,VIN-D0017,10.2,19.0,"12.2388,109.1967",106.7
2024-01-16 15:54:00,VIN-D0018,106.7,26.5,"21.0285,105.8542",101.7
2024-01-16 15:57:00,VIN-D0019,33.3,71.3,"21.0285,105.8542",81.2
2024-01-16 16:00:00,VIN-D0020,3.7,90.8,"10.9460,108.4419",90.5
2024-01-16 16:03:00,VIN-D0021,31.8,91.2,"10.0452,105.7469",97.2
2024-01-16 16:06:00,VIN-D0022,76.2,88.2,"10.9460,108.4419",93.7
2024-01-16 16:09:00,VIN-D0023,65.3,70.5,"12.2388,109.1967",71.8
2024-01-16 16:12:00,VIN-D0024,17.8,93.2,"20.8449,106.6881",107.2
2024-01-16 16:15:00,VIN-D0025,17.7,13.8,"10.9460,108.4419",94.9
2024-01-16 16:18:00,VIN-D0026,67.9,69.7,"21.0285,105.8542",90.1
2024-01-16 16:21:00,VIN-D0027,78.4,96.2,"20.8449,106.6881",76.0
2024-01-16 16:24:00,VIN-D0028,37.3,97.5,"11.9404,108.4583",109.7
2024-01-16 16:27:00,VIN-D0029,62.3,63.6,"20.8449,106.6881",102.4
2024-01-16 16:30:00,VIN-D0030,81.5,39.4,"10.9460,108.4419",88.1
2024-01-16 16:33:00,VIN-D0031,33.9,94.7,"11.9404,108.4583",104.7
2024-01-16 16:36:00,VIN-D0032,50.0,77.9,"12.2388,109.1967",90.1
2024-01-16 16:39:00,VIN-D0033,114.0,18.7,"10.9460,108.4419",103.0
2024-01-16 16:42:00,VIN-D0034,17.9,34.5,"16.0544,108.2022",75.1
2024-01-16 16:45:00,VIN-D0035,38.6,36.1,"21.0285,105.8542",106.0
2024-01-16 16:48:00,VIN-D0036,116.4,69.6,"16.0544,108.2022",92.1
2024-01-16 16:51:00,VIN-D0037,39.7,98.6,"12.2388,109.1967",83.5
2024-01-16 16:54:00,VIN-D0038,27.6,74.9,"16.0544,108.2022",90.4
2024-01-16 16:57:00,VIN-D0039,56.6,5.7,"12.2388,109.1967",87.7
2024-01-16 17:00:00,VIN-D0040,56.7,41.1,"20.8449,106.6881",98.3
2024-01-16 17:03:00,VIN-D0041,63.9,56.3,"10.9460,108.4419",82.0
2024-01-16 17:06:00,VIN-D0042,84.8,83.6,"10.9460,108.4419",73.2
2024-01-16 17:09:00,VIN-D0043,79.8,10.3,"10.9460,108.4419",82.5
2024-01-16 17:12:00,VIN-D0044,8.7,85.0,"10.0452,105.7469",98.7
2024-01-16 17:15:00,VIN-D0045,46.8,39.2,"10.0452,105.7469",74.1
2024-01-16 17:18:00,VIN-D0046,93.3,72.4,"20.8449,106.6881",75.1
2024-01-16 17:21:00,VIN-D0047,78.8,8.3,"12.2388,109.1967",98.5
2024-01-16 17:24:00,VIN-D0048,112.9,29.4,"12.2388,109.1967",78.8
2024-01-16 17:27:00,VIN-D0049,76.3,16.6,"20.8449,106.6881",73.3
2024-01-16 17:30:00,VIN-D0050,110.6,38.8,"20.8449,106.6881",107.3
2024-01-16 17:33:00,VIN-D0051,42.3,48.8,"12.2388,109.1967",107.3
2024-01-16 17:36:00,VIN-D0052,25.6,61.5,"10.9460,108.4419",73.9
2024-01-16 17:39:00,VIN-D0053,14.7,85.9,"10.0452,105.7469",79.1
2024-01-16 17:42:00,VIN-D0054,29.2,31.3,"10.9460,108.4419",76.6
2024-01-16 17:45:00,VIN-D0055,51.9,63.5,"10.8231,106.6297",73.7
2024-01-16 17:48:00,VIN-D0056,90.0,75.9,"12.2388,109.1967",79.1
2024-01-16 17:51:00,VIN-D0057,36.2,62.0,"11.9404,108.4583",99.6
2024-01-16 17:54:00,VIN-D0058,65.1,38.8,"20.8449,106.6881",95.1
2024-01-16 17:57:00,VIN-D0059,88.0,54.7,"21.0285,105.8542",103.5
2024-01-16 18:00:00,VIN-D0060,57.1,43.3,"16.0544,108.2022",74.6
2024-01-16 18:03:00,VIN-D0061,68.7,19.6,"12.2388,109.1967",78.7
2024-01-16 18:06:00,VIN-D0062,52.5,92.2,"16.0544,108.2022",89.6
2024-01-16 18:09:00,VIN-D0063,34.6,87.4,"10.0452,105.7469",78.6
2024-01-16 18:12:00,VIN-D0064,19.2,22.7,"11.9404,108.4583",80.6
2024-01-16 18:15:00,VIN-D0065,4.9,88.6,"10.8231,106.6297",81.6
2024-01-16 18:18:00,VIN-D0066,24.8,16.2,"12.2388,109.1967",99.3
2024-01-16 18:21:00,VIN-D0067,105.4,88.4,"10.0452,105.7469",101.9
