Timestamp,VIN,EngineTemp
2024-01-01 00:03:00,VIN-A0001,79.8
2024-01-01 00:06:00,VIN-A0002,93.6
2024-01-01 00:09:00,VIN-A0003,90.2
2024-01-01 00:12:00,VIN-A0004,78.8
2024-01-01 00:15:00,VIN-A0005,100.4
2024-01-01 00:18:00,VIN-A0006,76.2
2024-01-01 00:21:00,VIN-A0007,85.2
2024-01-01 00:24:00,VIN-A0008,102.3
2024-01-01 00:27:00,VIN-A0009,73.2
2024-01-01 00:30:00,VIN-A0010,93.1
2024-01-01 00:33:00,VIN-A0011,100.9
2024-01-01 00:36:00,VIN-A0012,85.2
2024-01-01 00:39:00,VIN-A0013,84.8
2024-01-01 00:42:00,VIN-A0014,94.4
2024-01-01 00:45:00,VIN-A0015,88.5
2024-01-01 00:48:00,VIN-A0016,97.4
2024-01-01 00:51:00,VIN-A0017,102.9
2024-01-01 00:54:00,VIN-A0018,78.4
2024-01-01 00:57:00,VIN-A0019,78.5
2024-01-01 01:00:00,VIN-A0020,75.7
2024-01-01 01:03:00,VIN-A0021,99.9
2024-01-01 01:06:00,VIN-A0022,78.8
2024-01-01 01:09:00,VIN-A0023,100.2
2024-01-01 01:12:00,VIN-A0024,101.7
2024-01-01 01:15:00,VIN-A0025,93.8
2024-01-01 01:18:00,VIN-A0026,97.2
2024-01-01 01:21:00,VIN-A0027,100.7
2024-01-01 01:24:00,VIN-A0028,88.1
2024-01-01 01:27:00,VIN-A0029,108.9
2024-01-01 01:30:00,VIN-A0030,104.8
2024-01-01 01:33:00,VIN-A0031,76.1
2024-01-01 01:36:00,VIN-A0032,94.0
2024-01-01 01:39:00,VIN-A0033,105.1
2024-01-01 01:42:00,VIN-A0034,79.6
2024-01-01 01:45:00,VIN-A0035,102.6
2024-01-01 01:48:00,VIN-A0036,75.1
2024-01-01 01:51:00,VIN-A0037,91.1
2024-01-01 01:54:00,VIN-A0038,98.5
2024-01-01 01:57:00,VIN-A0039,87.5
2024-01-01 02:00:00,VIN-A0040,72.6
2024-01-01 02:03:00,VIN-A0041,70.3
2024-01-01 02:06:00,VIN-A0042,106.2
2024-01-01 02:09:00,VIN-A0043,81.1
2024-01-01 02:12:00,VIN-A0044,79.7
2024-01-01 02:15:00,VIN-A0045,73.9
2024-01-01 02:18:00,VIN-A0046,104.6
2024-01-01 02:21:00,VIN-A0047,72.4
2024-01-01 02:24:00,VIN-A0048,79.9
2024-01-01 02:27:00,VIN-A0049,77.3
2024-01-01 02:30:00,VIN-A0050,87.7
2024-01-01 02:33:00,VIN-A0051,96.1
2024-01-01 02:36:00,VIN-A0052,107.1
2024-01-01 02:39:00,VIN-A0053,89.3
2024-01-01 02:42:00,VIN-A0054,85.2
2024-01-01 02:45:00,VIN-A0055,81.4
2024-01-01 02:48:00,VIN-A0056,76.2
2024-01-01 02:51:00,VIN-A0057,99.9
2024-01-01 02:54:00,VIN-A0058,72.3
2024-01-01 02:57:00,VIN-A0059,93.8
2024-01-01 03:00:00,VIN-A0060,107.7
2024-01-01 03:03:00,VIN-A0061,94.8
2024-01-01 03:06:00,VIN-A0062,107.4
2024-01-01 03:09:00,VIN-A0063,80.6
2024-01-01 03:12:00,VIN-A0064,82.6
2024-01-01 03:15:00,VIN-A0065,94.8
2024-01-01 03:18:00,VIN-A0066,90.2
2024-01-01 03:21:00,VIN-A0067,105.2
2024-01-01 03:24:00,VIN-A0068,94.5
2024-01-01 03:27:00,VIN-A0069,96.7
2024-01-01 03:30:00,VIN-A0070,107.6
2024-01-01 03:33:00,VIN-A0071,99.7
2024-01-01 03:36:00,VIN-A0072,98.7
2024-01-01 03:39:00,VIN-A0073,90.2
2024-01-01 03:42:00,VIN-A0074,73.7
2024-01-01 03:45:00,VIN-A0075,83.3
2024-01-01 03:48:00,VIN-A0076,99.6
2024-01-01 03:51:00,VIN-A0077,74.5
2024-01-01 03:54:00,VIN-A0078,91.8
2024-01-01 03:57:00,VIN-A0079,87.2
2024-01-01 04:00:00,VIN-A0080,106.0
2024-01-01 04:03:00,VIN-A0081,84.1
2024-01-01 04:06:00,VIN-A0082,107.0
2024-01-01 04:09:00,VIN-A0083,105.3
2024-01-01 04:12:00,VIN-A0084,101.3
2024-01-01 04:15:00,VIN-A0085,80.7
2024-01-01 04:18:00,VIN-A0086,104.3
2024-01-01 04:21:00,VIN-A0087,84.0
2024-01-01 04:24:00,VIN-A0088,70.9
2024-01-01 04:27:00,VIN-A0089,108.7
2024-01-01 04:30:00,VIN-A0090,97.2
2024-01-01 04:33:00,VIN-A0091,74.6
2024-01-01 04:36:00,VIN-A0092,71.5
2024-01-01 04:39:00,VIN-A0093,87.5
2024-01-01 04:42:00,VIN-A0094,80.2
2024-01-01 04:45:00,VIN-A0095,84.6
2024-01-01 04:48:00,VIN-A0096,94.9
2024-01-01 04:51:00,VIN-A0097,90.3
2024-01-01 04:54:00,VIN-A0098,92.2
2024-01-01 04:57:00,VIN-A0099,97.1
2024-01-01 05:00:00,VIN-A0100,86.2
2024-01-01 05:03:00,VIN-A0101,87.2
2024-01-01 05:06:00,VIN-A0102,87.7
2024-01-01 05:09:00,VIN-A0103,96.4
2024-01-01 05:12:00,VIN-A0104,73.7
2024-01-01 05:15:00,VIN-A0105,79.0
2024-01-01 05:18:00,VIN-A0106,109.4
2024-01-01 05:21:00,VIN-A0107,86.6
2024-01-01 05:24:00,VIN-A0108,89.8
2024-01-01 05:27:00,VIN-A0109,105.7
2024-01-01 05:30:00,VIN-A0110,78.8
2024-01-01 05:33:00,VIN-A0111,72.0
2024-01-01 05:36:00,VIN-A0112,75.3
2024-01-01 05:39:00,VIN-A0113,108.0
2024-01-01 05:42:00,VIN-A0114,103.2
2024-01-01 05:45:00,VIN-A0115,88.0
2024-01-01 05:48:00,VIN-A0116,100.6
